STEP,SITE,ANGLE,DIR,SERIES,f0_Dmmin,Df_DM,Dmmin,Dmmax
99,2,-14,1,0,5736,-8.9,-122.45,-100.92
100,2,-14,1,1,5747,-8.7,-117.86,-95.18
101,2,-21,0,0,5739,-8.9,-123.17,-100.15
102,2,-21,0,1,5738,-8.8,-120,-98.15
103,2,-21,1,0,5731,-8.9,-121.85,-101.5
104,2,-21,1,1,5741,-9,-118.36,-99.5
105,2,-28,0,0,5735,-8.9,-122.82,-103.35
106,2,-28,0,1,5731,-9.1,-120.09,-103.97
107,2,-28,1,0,5733,-8.9,-122.41,-106.07
108,2,-28,1,1,5734,-8.9,-121.07,-105.36
